uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_24ur_0,24ur_0,2022-11-22 8:10,Ljublajćan,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_1,24ur_1,2022-11-22 8:06,Prestolnica Slovenije postaja čedalje bolj neslovenska. To kaže izid volitev za župana. Baraba ostaja!,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_2,24ur_2,2022-11-22 8:55,"Grede na izvorni priimek, ti po številu krvnih telesc nisi ravno Slovenec.",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_1
user_24ur_3,24ur_3,2022-11-21 21:12,"Zakaj pa ne bi dal saj malo veselja in vklop lučk, Anžetu? Saj je treba sodelovati, prijateljevati in se z vsemi razumeti za skupni boljši jutri. Nekaj veselja po razočaranju si pa tudi zasluži, čeprav je iz soseščine, saj ni treba biti vsem tako zaplankan kot so v njegovem polu.",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_4,24ur_4,2022-11-21 21:11,V srbsko mesto le če je nujno,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_2,24ur_5,2022-11-22 8:55,Tudi takrat ti ni treba. Ni nujno ...,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_4
user_24ur_5,24ur_6,2022-11-21 20:41,prov bomo prežvel. je pa to refleksija današnje družbe,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_5,24ur_7,2022-11-21 20:42,refleksija vrednot,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_6
user_24ur_6,24ur_8,2022-11-21 19:19,"Prepotentneži, ki skrbijo predvsem za svoj žep",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_7,24ur_9,2022-11-21 17:38,Bravo ZJ.,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_8,24ur_10,2022-11-21 17:38,Super!!!,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_9,24ur_11,2022-11-21 17:19,"Ko je trola šla po tromostovju, je blo boljs",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_10,24ur_12,2022-11-21 16:58,"Hajdarpašić...a se ni ime te družin omenjalo v zvezi z umorom v Naklem? Kavaški klan je posloval s sinčkom, on pa je prikrival informacije v preiskavi? No, pa saj tastari niso nič krivi, bo rekel marsikdo...",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_2,24ur_13,2022-11-22 8:58,"Imamo tudi čiste slovenske priimke, ki so pred časom nad Slovenci zagrešili hujde zločine, pa jim nekateri še danes gradijo spomenike in vzklikajo z v svetu prepovedanim pozdravom.",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_12
user_24ur_11,24ur_14,2022-11-21 16:48,Janković je pravi don a vseeno “vozi” boljše kot je sposoben kdo drug.,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_12,24ur_15,2022-11-21 16:18,"Zmagal je na volitvah,zato je ponovno župan.Jamrajo tisti,ki ne hodijo na volitve in tisti ki ne prenesejo poraza...",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_13,24ur_16,2022-11-21 15:36,Morajo ga voliti saj pa je ogromno njegovih zemljakov v Sloveniji katere je uvažal,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_14,24ur_17,2022-11-21 16:30,Jaz sem ljubljancan in sem ga volil ze veckrat.,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_16
