uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_n1_0,n1_0,2022-12-16 07:06,Malo še počakajmo in bodo tudi pozimi Golobi odleteli.........na jug. ,https://n1info.si/novice/mnenja/komentar-mete-roglic-leto-porazov-janeza-janse/,
user_n1_1,n1_1,2022-12-02 07:37,"Bojim se da sledi 4leta porazov za državljane Slovenie.Kadrovanje NAŠIH ,sprejemanje zakonov po hitrem postopku,poslabšanje zdravstva in tako naprej.V čem je ta vlada boljša od prejšnih??????",https://n1info.si/novice/mnenja/komentar-mete-roglic-leto-porazov-janeza-janse/,
user_n1_2,n1_2,2022-12-10 14:20,"@ Toolman Žal imate prav. Toliko truda in denarja je bilo vloženega v sledeča štiri leta in občutek ter videz kaže, je bilo vse za man. Da bi se nova vlada vsaj držala zakonov in nebi zmetala vseh z nastavljenih mest, ki lahko v naslednjem trenutku, takoj kot eden prevzamejo državo. Do sedaj je desna politična opcija vedno dvignila dovolj vika in krika, da se levaki niso upali nič premakniti. Ja, to obvladamo! Toolman morda vse skupaj ne bo en sam poraz.",https://n1info.si/novice/mnenja/komentar-mete-roglic-leto-porazov-janeza-janse/,n1_1
user_n1_2,n1_3,2022-11-29 10:02,"Leto porazov Janeza Janše! Vendar ne samo porazov. Janša zna delovati tudi pozitivno. Tudi dober rezultat Anžeta Logarja na predsedniških volitvah le malo pred referendumi kaže, da bi desnica imela več možnosti za uspeh. Rezultati so zato jasen pokazatelj tega, kar je levim strankam že dolgo časa jasno – da je Janez Janša njihova edina prava garancija za dolgo in srečno vladanje. Saj je najbolj simpatičen SDSovec, Branko Grims, že povedal za kaj gre. Narod je zaveden, pusti se zavesti, je skupnost debilov, ki ne vedo da ""tranzicijska levica"" dela z njimi kar hoče. Ergo, moramo ga zamenjat. Samo nov narod, bo dojel resnico! Kakšne osebnostne veličine, značilne za druge državnike, priznati poraz, pa nikoli niste premogli, kajne? No, zato niste to, kar mislite, da ste. Janša na čelu SDS je njihov najboljši adut. Janša zaradi svojega načina vladanja in retorike včasih res (doslej se mu je posrečilo trikrat) pride na oblast, toda nato v kratkem obdobju zmeraj potegne toliko slabih potez, da se priskuti večini. Čujem, da se je ""veliki vodja"" sekte @strankaSDS Janez Janša spet usral poraza in je že včeraj, preventivno pobegnil v tujino. Junak, kot je bil tudi leta 1991. Veterani vojne za Slovenijo, mu tega ne bomo nikoli pozabili in odpustili. Mi smo se tepli, on je pa služil mastne, krvave denarce.  OprodaTonin je edini skrajni desničar, ki sam sebi verjame, da je sredina. Mnogi njegovi pandani sicer to trdijo, vendar pri sebi vedo, da lažejo. Ravno zato, ker Janši, ki je v času svoje vlade neprestano lagal, žalil in zlorabljal oblast nihče razumen ni verjel, da se zavzema za določene rešitve zato, ker razmišlja o dobrobiti ljudstva. Volivci ob tem jasno vidijo, da ko Janša vlada, to počne z nelegitimno večino, ko pa izgublja, izgublja po vseh pravilih. Po teh štirih porazih lahko vladne stranke sedaj le upajo, da se na desnici ne bo nič spremenilo in da bo Janša tudi po tako hudih zaušnicah ostal. Super povedano! Robert Golob je sicer Janšo res poslal »v penzijo«, toda to je bil verjetno eden redkih trenutkov, ko je bil preveč odkritosrčen in so iz njega spregovorila čustva, ne pa razum. Če bi malce razmislil - Janši tega nikoli ne bi predlagal. Kajti referendumski rezultati jasno kažejo, da le Janša na čelu SDS lahko Golobovi vladi prinese ne samo enega ali dva, ampak morda še več mandatov.",https://n1info.si/novice/mnenja/komentar-mete-roglic-leto-porazov-janeza-janse/,
user_n1_3,n1_4,2022-11-29 09:19,Reva.pobegnil je od poraza.Skril se v misjo luknjo.Najboljši je samo na Dobu in ko je sam s seboj.Kaj ljudje vidijo v njem in v njegovih slepih in zaslepljenih pomocnikih?,https://n1info.si/novice/mnenja/komentar-mete-roglic-leto-porazov-janeza-janse/,
user_n1_2,n1_5,2022-11-29 09:14,"Leto preobrazbe Janeza Janše. Dialog! Aleš kralj; Grims ima na žalost deloma prav. Tudi sam sem izid zadnjih volitev primerjal z izvolitvijo NSDAP, ker je operativni duh volitev identičen. Evropa se bo še lahko čudila. Tudi svojemu prvotnemu začudenju. Evropa nima nobenega vpogleda v dogajanja po svetu (dokaz presenečenje v UA). MateMate; Paralele z nacizmom vidim jaz samo pri SDS in njenem neonaci podmladku. Pa v Grimsovih lažeh. Aleš kralj;  Razumem. andrej; Kaj bi bilo pa tole, operativni duh volitev? Ali nas lahko prosvetlite? Luka; Ne se smešit no. Edini nacizem je pri nas bil sponzoriran iz strani desnice, ki je neonaci društvom dajala status kulturnih društev. Aleš kralj;  Neugodno hm. Novi Slovenc; Remember Ernecl? dialog sledi!",https://n1info.si/novice/mnenja/komentar-mete-roglic-leto-porazov-janeza-janse/,
user_n1_4,n1_6,2022-11-29 07:04,"Je Janša že tako zelo oslabljen, da bi Golob lahko zaprl vse finančne pipce iz katerih se napaja Janšev imperij (drugi tir in podobno)?",https://n1info.si/novice/mnenja/komentar-mete-roglic-leto-porazov-janeza-janse/,
user_n1_5,n1_7,2022-11-28 20:34,"Ne razumem kako so govorili SDS, da so zbrali preko 150. 000 podpisov, sedaj pa tako malo glasovnic proti. Sama manipulacija naroda in tako izgubljajo se svoje volivce. Kako le lahko pridejo pred narod in se SDS obnaša kot, da so oni zmagovalci. Prosim naj se pogledajo v ogledalo in dobro premislijo, če gredo po pravi poti. Moje mnenje je, da se sds, umaknete iz političnega parketa saj imamo dovolj teh 2 let, ki se je za narod delala velika škoda in, da se v resnici zdaj v tem trenutku počutimo svobodno. Pa govorjenju kaj nam je Janša dal, nič ni dal, vse bomo vračali se veliko let,",https://n1info.si/novice/mnenja/komentar-mete-roglic-leto-porazov-janeza-janse/,
user_n1_6,n1_8,2022-11-28 18:42,"Ne mislite, da Logar dela karkoli brez blagoslova jj. tudi v primeru, da bi prevzel stranko, bi jj se vedno bil stric iz ozadja in logar bi plesal kot bi on zvizgal. sploh ne morem verjet. malo vsecnih besed, pa vsi spregledajo njegova pretekla dejanja in padejo kot zrele hruske pred njegov kolena.",https://n1info.si/novice/mnenja/komentar-mete-roglic-leto-porazov-janeza-janse/,
user_n1_7,n1_9,2022-11-28 16:05,"Ni dobro, da je oblast skoncentrirana v rokah enega človeka ali v oblasti ene politične opcije. Upam, da v Sloveniji pride do kakšnih sprememb v tej smeri, sicer bomo Slovenci v prihodnje to stanje, ki je sedaj drago plačali.",https://n1info.si/novice/mnenja/komentar-mete-roglic-leto-porazov-janeza-janse/,
