uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_nova24_0,nova24_0,2022-12-08 20:43,"Nacisti,fašisti,komunisti, isti..,isti...,isti...isti",https://nova24tv.si/slovenija/politika/izjava-dneva-ce-bi-to-pocela-janseva-vlada-bi-v-drzavi-zmanjkalo-koles/,
user_nova24_1,nova24_1,nova24_0,Ti tudi. Nekaj pametnega pa škoberne res zna.ce bi sd zdaj bila pametna bi zapustila vlado in tako dodala par procentov priljubljenosti xmxa svoji stranko.ksr pa stranko vodi Fata pač tega ne bo. žal,https://nova24tv.si/slovenija/politika/izjava-dneva-ce-bi-to-pocela-janseva-vlada-bi-v-drzavi-zmanjkalo-koles/,2022-12-08 23:06
user_nova24_2,nova24_2,2022-12-08 20:48,"Ker pa to dela murglski maziljenjec, diktator Golob, pa ne boste kolesarili, Socialni ""demokrati""? Ker ste za diktaturo, ki jo źeli kucanov ptič uvesti?! Poglejte se v ogledalo!",https://nova24tv.si/slovenija/politika/izjava-dneva-ce-bi-to-pocela-janseva-vlada-bi-v-drzavi-zmanjkalo-koles/,
user_nova24_3,nova24_3,2022-12-08 21:17,bedak,https://nova24tv.si/slovenija/politika/izjava-dneva-ce-bi-to-pocela-janseva-vlada-bi-v-drzavi-zmanjkalo-koles/,
user_nova24_4,nova24_4,nova24_2,NE BI ZMANJKALO KOLES! Zmanjkalo bi municije! Če bio janša samo poiskušal kar dela primorski Duče !,https://nova24tv.si/slovenija/politika/izjava-dneva-ce-bi-to-pocela-janseva-vlada-bi-v-drzavi-zmanjkalo-koles/,2022-12-09 08:57
user_nova24_5,nova24_5,2022-12-08 21:21,"Najslabša, najbolj nesposobna, najbolj škodljiva vlada v zgodovini samostojne Slovenije....Vlada,ki ruši demokracijo. Vlada, ki se norčuje iz ljudi. Konglomerat laži, sprenevedanj, polit.korupcije, praznih obljub, puhlic, primitivizma, napuha, pijanosti od oblasti..... Vlada, ki ji pomagajo dihati mediji.....brez njih bi se sesula sama vase.",https://nova24tv.si/slovenija/politika/izjava-dneva-ce-bi-to-pocela-janseva-vlada-bi-v-drzavi-zmanjkalo-koles/,
user_nova24_6,nova24_6,nova24_5,"Vlada, ki najbolj KRADE, ZATIRA in PONAREJA.",https://nova24tv.si/slovenija/politika/izjava-dneva-ce-bi-to-pocela-janseva-vlada-bi-v-drzavi-zmanjkalo-koles/,2022-12-08 23:09
user_nova24_7,nova24_7,nova24_5,"In ta vlada bo s pomočjo koristnih idiotov , vladala še naslednjih 100 let. Ne verjamete? Se slišimo čez 4 leta , na naslednjih volitvah, in potem na vsake 4 leta, do l. 2120.",https://nova24tv.si/slovenija/politika/izjava-dneva-ce-bi-to-pocela-janseva-vlada-bi-v-drzavi-zmanjkalo-koles/,2022-12-08 23:14
user_nova24_8,nova24_8,nova24_7,"Fanatizem je kot sanje, ki jih nekateri sprejemajo kot resničnost in vsiljujejo drugim.",https://nova24tv.si/slovenija/politika/izjava-dneva-ce-bi-to-pocela-janseva-vlada-bi-v-drzavi-zmanjkalo-koles/,2022-12-09 12:42
user_nova24_9,nova24_9,2022-12-08 21:39,"Dolgolasi udbovski pankrt ima ambicije svetovnega voditelja , mentalno kapaciteto provincionalnega mešetarja in karizmo kurjega tatu . Žvepleni pritlikavec milan kučan se je s serpentinškom ustrelil v koleno , s pernatim maymunom pa še v drugo .",https://nova24tv.si/slovenija/politika/izjava-dneva-ce-bi-to-pocela-janseva-vlada-bi-v-drzavi-zmanjkalo-koles/,
