uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_rtv_0,rtv_0,2022-12-05 15:33,"Marko Zidanšek - SDS ... No ja, če ne bomo vsak teden hodili na referendume bo pa DS vlagal vete ... in potem eni tu gor ironično tulite, da ta vlada ne naredi nič 🥂Je pa utopično, da bomo še zmeraj lepo živeli ne da bi občutili kar je svetovna in evropska politika skuhala",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_1,rtv_1,2022-12-05 16:41,"Bravo, državni svet! Hvala, ker delate za ljudi.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_2,rtv_2,2022-12-05 16:45,"eni bi očitno rajš travo jedli, sam da ni Janša na oblasti...adijo pamet.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_3,rtv_3,2022-12-5 15:52,Državni svet je tako ali tako samemu sebi namen in bi ga bilo potrebno po hitrem postopku enkrat za vedno ukiniti. Škoda metanja denarja skozi okno.,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_4,rtv_4,2022-12-05 15:31,"se s 1. januarjem 2023 ne bo zvišala na 5500 evrov, kot je določeno v zdaj veljavnem zakonu, ampak le na 5000 evrov. Nadaljnja postopna zvišanja na 7500 evrov do leta 2025 se ob tem odpravljajo. To predstavlja korak k nižjim plačam, je v predlogu za odložilni veto zapisala skupina državnih svetnikov s prvopodpisanim Markom Zidanškom.Več je manj, manj je več.Svašta!",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_5
user_rtv_5,rtv_6,2022-12-05 15:52,Ljudstvo si nikoli ne želi davkov. Ampak. Pobrani davki se v največji meri namenjajo za pokojninsko in zdravstveno zavarovanje. Kaj pa zdaj?,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_7
user_rtv_6,rtv_8,2022-12-5 15:43,"Ma kaj ima to veze z Janšo. Nikoli nisem Janše podpiral in lahko mirno zatrdim, da je slaba novela in da se sprejema ob neprimernem času. Kar je pa še huje, se je na veliko razlagalo zakaj so določene spremembe pomembne in potrebne, od tega pa na koncu ni ostalo nič, ampak samo kup nepremišljenih dejanj, kot so spremembe normiranih s.p., ali pa obdavčitev nakupov lastnih deležev, še posebej v luči izjav ministra Meseca nekaj dni kasneje, leva roka ne ve, kaj desna dela. Komedija zmešnjav.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_5
user_rtv_0,rtv_9,2022-12-5 15:36,"No ja .. da je tisti člen nedemokratičen je z razlogom. Verjetno še tisti, ki so parkirani na kavču 18ur/24 bi šli na referendum, če se davke še plačuje 😉",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_6,rtv_10,2022-12-5 18:15,"Nikoli v zgodovini še nihče ni imel vlade, katere vsi zakonski predlogi bi bili dobri, smiselni in učinkoviti ali obratno vsi dobri. Še tak navijač ene ali druge strani bi se moral tega zavedati. Ta novela je eden takšnih kiksov, saj je popolnoma zgrešila časovno ustreznost, ob dvomestni inflaciji pač tega ne počneš, na drugi strani pa je vsebinsko brez razmisleka in gre v veliki meri zgolj za populistične popravke v smislu, samo da se nekaj dela.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_7,rtv_11,2022-12-5 17:04,"Dohodnina je čisti davek na delo. Niti ni določenega namena, čemu je namenjena. In za Slo. plače je bistveno previsoka in tukaj ima država veliko rezerve, kako zmanjšati bruto plače. Manj sociale, nvo in ostalih koritnikov.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_12
